iter	RMSE
0	11423.51414
1	10012.17222
2	8901.742871
3	8049.025953
4	7431.570308
5	6940.040728
6	6551.295051
7	6266.298615
8	6028.095163
9	5851.994056
10	5693.831512
11	5554.158159
12	5443.700184
13	5326.571344
14	5251.268022
15	5169.583238
16	5112.899183
17	5059.01981
18	5017.94122
19	4972.296133
20	4927.770377
21	4898.095574
22	4857.892931
23	4823.920687
24	4798.079231
25	4767.23006
26	4735.131064
27	4709.690259
28	4691.813153
29	4669.352114
30	4643.691382
31	4611.151097
32	4582.305868
33	4561.317465
34	4541.057586
35	4508.367855
36	4495.045055
37	4476.377013
38	4453.941549
39	4429.67723
40	4412.406471
41	4399.616594
42	4393.373586
43	4381.751238
44	4362.545059
45	4343.459226
46	4330.528431
47	4316.750696
48	4304.46335
49	4293.693491
50	4279.470775
51	4273.456548
52	4259.737575
53	4249.339413
54	4239.862449
55	4230.419359
56	4219.818448
57	4209.322178
58	4194.870081
59	4183.764116
60	4171.542605
61	4160.693014
62	4152.770957
63	4146.908134
64	4139.279725
65	4130.075889
66	4119.61982
67	4114.308869
68	4100.878504
69	4095.336947
70	4086.737089
71	4079.703151
72	4069.877895
73	4061.466245
74	4047.297065
75	4037.132202
76	4030.94312
77	4024.536793
78	4018.778773
79	4013.368454
80	4006.692804
81	3999.536183
82	3993.074229
83	3981.947518
84	3977.666245
85	3972.062448
86	3967.993166
87	3962.650207
88	3958.090028
89	3948.280692
90	3941.312936
91	3936.539046
92	3928.511009
93	3924.225568
94	3918.43963
95	3910.230036
96	3905.523644
97	3898.086436
98	3890.371631
99	3884.63377
100	3876.559517
101	3871.567625
102	3865.314733
103	3858.952385
104	3852.676647
105	3847.547462
106	3845.667354
107	3840.531202
108	3836.966344
109	3828.811414
110	3824.317394
111	3812.797154
112	3801.890847
113	3797.157014
114	3791.530237
115	3784.308117
116	3779.677826
117	3776.095782
118	3771.974594
119	3766.899003
120	3764.354798
121	3757.840004
122	3749.099385
123	3745.393425
124	3740.955413
125	3735.898421
126	3731.624144
127	3727.244922
128	3722.398988
129	3717.820713
130	3713.627621
131	3709.996151
132	3705.263753
133	3696.942101
134	3691.558882
135	3683.974873
136	3679.526661
137	3675.924756
138	3672.960912
139	3666.581827
140	3662.208471
141	3658.983763
142	3653.227672
143	3649.151986
144	3644.690088
145	3641.381537
146	3637.088315
147	3633.321084
148	3629.122448
149	3625.767299
150	3623.121634
151	3618.13885
152	3610.945829
153	3604.77377
154	3599.683275
155	3595.342908
156	3593.220478
157	3587.543286
158	3583.412296
159	3577.958534
160	3575.467028
161	3573.623501
162	3567.968115
163	3561.0586
164	3554.774175
165	3552.8077
166	3550.040081
167	3547.139263
168	3543.226595
169	3540.561332
170	3537.135657
171	3533.567207
172	3530.72186
173	3525.752529
174	3523.081843
175	3518.036862
176	3514.869381
177	3511.005756
178	3509.230572
179	3504.915101
180	3500.429323
181	3496.350113
182	3493.471604
183	3489.710898
184	3487.028831
185	3481.436058
186	3477.725804
187	3475.492465
188	3472.335253
189	3466.176462
190	3464.224103
191	3462.094246
192	3460.105464
193	3457.969111
194	3454.786059
195	3452.561422
196	3449.471563
197	3447.371377
198	3445.830197
199	3442.085559
200	3439.316779
201	3436.463238
202	3433.143408
203	3431.044305
204	3428.020435
205	3425.844729
206	3422.172995
207	3419.423369
208	3416.973655
209	3415.772529
210	3411.668088
211	3408.630695
212	3406.637534
213	3403.838268
214	3401.110574
215	3397.9032
216	3394.527253
217	3391.051187
218	3387.960711
219	3383.697643
220	3380.810953
221	3378.181372
222	3376.011874
223	3373.080064
224	3370.32293
225	3367.785754
226	3364.88667
227	3362.614026
228	3359.692043
229	3357.206368
230	3354.302885
231	3352.822472
232	3350.650757
233	3348.500076
234	3345.702648
235	3342.968401
236	3339.322704
237	3337.029399
238	3335.71971
239	3333.585962
240	3330.865979
241	3329.219193
242	3327.75758
243	3325.772008
244	3322.980678
245	3320.963678
246	3318.886696
247	3316.861335
248	3314.745595
249	3312.394471
250	3309.882074
251	3307.721071
252	3306.218181
253	3304.453863
254	3302.74547
255	3300.205352
256	3298.508651
257	3296.917165
258	3294.960411
259	3292.366988
260	3289.915282
261	3288.093524
262	3286.501702
263	3284.821804
264	3282.824372
265	3281.180357
266	3278.796445
267	3275.943716
268	3274.805356
269	3273.157073
270	3270.886356
271	3268.899663
272	3266.965355
273	3264.973539
274	3262.903952
275	3261.329353
276	3260.144566
277	3258.383187
278	3255.778136
279	3252.379626
280	3250.467817
281	3247.127864
282	3244.323347
283	3241.154708
284	3238.886757
285	3234.823925
286	3231.504837
287	3228.612492
288	3225.476996
289	3223.831558
290	3221.829426
291	3220.435123
292	3217.882103
293	3216.805113
294	3215.197948
295	3213.245096
296	3212.144221
297	3210.803779
298	3208.193952
299	3207.14412
300	3205.463315
301	3203.439221
302	3201.283176
303	3199.896667
304	3198.151699
305	3195.75391
306	3194.708021
307	3192.940745
308	3191.697932
309	3189.646446
310	3188.013623
311	3186.420833
312	3184.874821
313	3183.614709
314	3181.96231
315	3180.88988
316	3179.421144
317	3178.150574
318	3176.967345
319	3174.917256
320	3173.134252
321	3170.966431
322	3169.424595
323	3167.653906
324	3164.819282
325	3162.747761
326	3161.527455
327	3160.300229
328	3158.699431
329	3157.515926
330	3155.106117
331	3153.70162
332	3152.460086
333	3150.978325
334	3150.089056
335	3148.299799
336	3146.979262
337	3144.915473
338	3143.57065
339	3142.015826
340	3139.395121
341	3137.931005
342	3136.518439
343	3134.4344
344	3132.532594
345	3131.468562
346	3129.500423
347	3127.695036
348	3125.55159
349	3123.697978
350	3121.961536
351	3120.951204
352	3119.310903
353	3117.620938
354	3115.627974
355	3113.705884
356	3111.5991
357	3110.391317
358	3109.092285
359	3107.955762
360	3106.625012
361	3105.292664
362	3103.6023
363	3102.349356
364	3101.182277
365	3097.936078
366	3096.579937
367	3095.076988
368	3093.824804
369	3092.251784
370	3091.119319
371	3089.89811
372	3088.301533
373	3085.705511
374	3084.01444
375	3083.028599
376	3082.263252
377	3081.297209
378	3080.534633
379	3078.531185
380	3076.900323
381	3075.325383
382	3073.198401
383	3071.621571
384	3070.683845
385	3069.938522
386	3068.814429
387	3067.336272
388	3066.458075
389	3064.760815
390	3063.987624
391	3061.796232
392	3060.864238
393	3059.523319
394	3058.531381
395	3057.060312
396	3055.45264
397	3053.721021
398	3052.72424
399	3051.000083
400	3050.351361
401	3048.97915
402	3046.965423
403	3046.100571
404	3045.281913
405	3044.14265
406	3043.205812
407	3041.60371
408	3039.472201
409	3038.12605
410	3037.39301
411	3036.084785
412	3034.865245
413	3033.161884
414	3032.585332
415	3031.090468
416	3029.44089
417	3027.681359
418	3026.860124
419	3025.608137
420	3024.942399
421	3023.649298
422	3023.190637
423	3022.461766
424	3021.597281
425	3020.127215
426	3019.252978
427	3018.369606
428	3016.456307
429	3014.763856
430	3013.938536
431	3012.795876
432	3011.388727
433	3009.488683
434	3008.338719
435	3006.048788
436	3004.103692
437	3003.66567
438	3002.368326
439	3001.986085
440	3000.467038
441	2999.47476
442	2998.404539
443	2997.402009
444	2995.746499
445	2993.648281
446	2992.767154
447	2991.645501
448	2990.943435
449	2989.104466
450	2988.823867
451	2987.359714
452	2986.729847
453	2985.468401
454	2983.999093
455	2982.796643
456	2981.558876
457	2980.285514
458	2979.686589
459	2978.012978
460	2976.414441
461	2975.390702
462	2973.776567
463	2972.510579
464	2971.468919
465	2970.191931
466	2968.936927
467	2967.931279
468	2966.853442
469	2966.132297
470	2965.374345
471	2963.898963
472	2962.680356
473	2961.400847
474	2960.15954
475	2958.613443
476	2956.845148
477	2955.934222
478	2954.97239
479	2954.21089
480	2953.299492
481	2952.260942
482	2950.718473
483	2950.586832
484	2950.278928
485	2949.590731
486	2948.650158
487	2947.486903
488	2946.741739
489	2945.670409
490	2944.826749
491	2944.055974
492	2942.895812
493	2942.010185
494	2940.647611
495	2939.734165
496	2938.924907
497	2938.08282
498	2937.303463
499	2935.858739
500	2934.677201
501	2933.446067
502	2931.853199
503	2930.554183
504	2929.390653
505	2928.60801
506	2927.588697
507	2927.023241
508	2926.364647
509	2925.184249
510	2924.063316
511	2922.630631
512	2921.499244
513	2920.940994
514	2919.187962
515	2917.387754
516	2915.741434
517	2914.660002
518	2913.611556
519	2912.309529
520	2911.148404
521	2910.134851
522	2908.728026
523	2908.475986
524	2907.300576
525	2906.422665
526	2905.122635
527	2903.616777
528	2902.591938
529	2901.691833
530	2900.696091
531	2899.653116
532	2898.981588
533	2898.021197
534	2897.593398
535	2896.621323
536	2895.356603
537	2894.599772
538	2893.785735
539	2892.684116
540	2891.953181
541	2890.796567
542	2889.699646
543	2889.005847
544	2887.989564
545	2887.298041
546	2886.313478
547	2885.492328
548	2883.853886
549	2883.105627
550	2882.360125
551	2881.303506
552	2880.251158
553	2879.000096
554	2877.89204
555	2877.398076
556	2875.261196
557	2873.818094
558	2872.720211
559	2871.473506
560	2870.056783
561	2868.923878
562	2868.274802
563	2867.972817
564	2867.010893
565	2865.945899
566	2864.950566
567	2863.512696
568	2862.209788
569	2861.174346
570	2860.137478
571	2859.469216
572	2858.310521
573	2857.31086
574	2855.945996
575	2854.863952
576	2853.708742
577	2852.780723
578	2851.359647
579	2850.483413
580	2849.536026
581	2848.898702
582	2847.626042
583	2845.759954
584	2844.873694
585	2844.031041
586	2843.775831
587	2842.740982
588	2841.849027
589	2840.983028
590	2840.210164
591	2838.815171
592	2837.68518
