iter	Passed	Remaining
0	142	71287
1	147	36723
2	152	25217
3	156	19410
4	161	15952
5	164	13534
6	169	11909
7	172	10597
8	176	9641
9	181	8881
10	186	8270
11	191	7782
12	196	7363
13	201	6991
14	206	6665
15	210	6372
16	215	6114
17	219	5887
18	224	5681
19	229	5500
20	233	5328
21	237	5170
22	242	5028
23	247	4913
24	252	4806
25	258	4713
26	263	4616
27	268	4526
28	273	4435
29	277	4352
30	282	4271
31	286	4195
32	291	4126
33	295	4056
34	300	3992
35	304	3930
36	309	3875
37	315	3836
38	320	3790
39	325	3743
40	330	3697
41	334	3652
42	339	3608
43	344	3566
44	348	3525
45	353	3492
46	358	3459
47	364	3429
48	370	3407
49	376	3391
50	382	3371
51	388	3343
52	393	3318
53	398	3289
54	402	3257
55	407	3229
56	411	3201
57	416	3172
58	420	3146
59	425	3120
60	430	3099
61	435	3079
62	441	3059
63	446	3039
64	450	3017
65	455	2994
66	459	2972
67	464	2950
68	469	2929
69	474	2914
70	479	2894
71	483	2875
72	488	2857
73	494	2844
74	499	2828
75	504	2812
76	509	2796
77	513	2779
78	518	2763
79	523	2748
80	528	2732
81	533	2717
82	537	2701
83	542	2686
84	547	2671
85	552	2658
86	557	2647
87	562	2635
88	568	2623
89	573	2611
90	578	2597
91	582	2583
92	586	2568
93	591	2553
94	595	2540
95	600	2527
96	604	2513
97	609	2501
98	614	2488
99	618	2475
100	623	2462
101	628	2450
102	633	2440
103	638	2429
104	643	2421
105	648	2410
106	653	2400
107	658	2390
108	663	2378
109	668	2368
110	673	2358
111	677	2347
112	682	2337
113	687	2328
114	693	2320
115	698	2311
116	703	2303
117	708	2294
118	713	2284
119	718	2274
120	722	2263
121	727	2253
122	732	2243
123	736	2233
124	741	2223
125	745	2213
126	750	2204
127	755	2196
128	761	2189
129	766	2180
130	770	2171
131	775	2161
132	780	2153
133	785	2144
134	789	2135
135	794	2126
136	799	2117
137	803	2108
138	808	2099
139	813	2090
140	818	2083
141	823	2076
142	829	2069
143	834	2063
144	839	2056
145	844	2048
146	849	2039
147	854	2032
148	859	2024
149	864	2017
150	869	2010
151	875	2004
152	881	1999
153	887	1993
154	892	1986
155	897	1979
156	902	1972
157	907	1965
158	913	1958
159	918	1952
160	924	1945
161	929	1938
162	934	1931
163	939	1925
164	945	1918
165	950	1911
166	954	1904
167	959	1896
168	964	1888
169	969	1881
170	973	1873
171	978	1866
172	983	1858
173	987	1850
174	992	1843
175	997	1836
176	1003	1830
177	1008	1824
178	1013	1817
179	1018	1811
180	1023	1803
181	1028	1796
182	1032	1789
183	1037	1781
184	1041	1774
185	1046	1766
186	1051	1759
187	1055	1751
188	1060	1744
189	1065	1738
190	1070	1732
191	1075	1724
192	1079	1717
193	1084	1710
194	1089	1703
195	1093	1696
196	1098	1690
197	1103	1682
198	1107	1675
199	1112	1668
200	1117	1662
201	1122	1656
202	1128	1651
203	1134	1646
204	1139	1639
205	1144	1633
206	1148	1626
207	1153	1619
208	1158	1612
209	1162	1605
210	1167	1599
211	1172	1592
212	1177	1585
213	1181	1579
214	1186	1572
215	1191	1566
216	1196	1560
217	1201	1554
218	1207	1549
219	1212	1543
220	1217	1536
221	1221	1530
222	1226	1523
223	1230	1516
224	1235	1510
225	1240	1503
226	1245	1497
227	1249	1491
228	1254	1484
229	1260	1479
230	1265	1473
231	1270	1468
232	1276	1462
233	1281	1456
234	1286	1451
235	1292	1445
236	1297	1440
237	1302	1434
238	1307	1428
239	1312	1422
240	1318	1416
241	1323	1410
